id,naics,name,region,year,share_basis,firm_count,revenue_usd_thousands,cr4,cr8,cr20,cr50,hhi,source_url
us-naics-483112,483112,Deep sea passenger transportation,US,2022,sales-value-shipments-or-revenue,72,23234570,0.977,0.996,0.999,1,0.34361,https://www2.census.gov/programs-surveys/economic-census/data/2022/sector00/EC2200SIZECONCEN.zip
us-naics-532111,532111,Passenger car rental,US,2022,sales-value-shipments-or-revenue,2190,38771599,0.896,0.916,0.934,0.955,0.30292,https://www2.census.gov/programs-surveys/economic-census/data/2022/sector00/EC2200SIZECONCEN.zip
us-naics-311230,311230,Breakfast cereal manufacturing,US,2022,sales-value-shipments-or-revenue,77,10975643,0.866,0.933,0.993,0.999,0.25391,https://www2.census.gov/programs-surveys/economic-census/data/2022/sector00/EC2200SIZECONCEN.zip
us-naics-455110,455110,Department stores,US,2022,sales-value-shipments-or-revenue,63,60695753,0.849,0.988,0.999,1,0.23868,https://www2.census.gov/programs-surveys/economic-census/data/2022/sector00/EC2200SIZECONCEN.zip
us-naics-713110,713110,Amusement and theme parks,US,2022,sales-value-shipments-or-revenue,478,19170768,0.751,0.865,0.916,0.948,0.18534,https://www2.census.gov/programs-surveys/economic-census/data/2022/sector00/EC2200SIZECONCEN.zip
us-naics-561450,561450,Credit bureaus,US,2022,sales-value-shipments-or-revenue,222,14666741,0.751,0.9,0.966,0.99,0.15598,https://www2.census.gov/programs-surveys/economic-census/data/2022/sector00/EC2200SIZECONCEN.zip
us-naics-331315,331315,"Aluminum sheet, plate, and foil manufacturing",US,2022,sales-value-shipments-or-revenue,38,22603978,0.694,0.894,0.988,1,0.14975,https://www2.census.gov/programs-surveys/economic-census/data/2022/sector00/EC2200SIZECONCEN.zip
us-naics-517111,517111,Wired telecommunications carriers,US,2022,sales-value-shipments-or-revenue,3403,322720357,0.654,0.801,0.877,0.92,0.12859,https://www2.census.gov/programs-surveys/economic-census/data/2022/sector00/EC2200SIZECONCEN.zip
us-naics-326211,326211,Tire manufacturing (except retreading),US,2022,sales-value-shipments-or-revenue,72,21250856,0.64,0.874,0.97,0.999,0.12791,https://www2.census.gov/programs-surveys/economic-census/data/2022/sector00/EC2200SIZECONCEN.zip
us-naics-522210,522210,Credit card issuing,US,2022,sales-value-shipments-or-revenue,195,161591705,0.631,0.865,0.985,0.999,0.12456,https://www2.census.gov/programs-surveys/economic-census/data/2022/sector00/EC2200SIZECONCEN.zip
us-naics-456110,456110,Pharmacies and drug retailers,US,2022,sales-value-shipments-or-revenue,19676,543941952,0.71,0.763,0.792,0.82,0.17108,https://www2.census.gov/programs-surveys/economic-census/data/2022/sector00/EC2200SIZECONCEN.zip
us-naics-311351,311351,Chocolate and confectionery manufacturing from cacao beans,US,2022,sales-value-shipments-or-revenue,296,5266311,0.534,0.787,0.932,0.97,0.09607,https://www2.census.gov/programs-surveys/economic-census/data/2022/sector00/EC2200SIZECONCEN.zip
us-naics-325120,325120,Industrial gas manufacturing,US,2022,sales-value-shipments-or-revenue,93,16411762,0.668,0.855,0.973,0.998,0.12994,https://www2.census.gov/programs-surveys/economic-census/data/2022/sector00/EC2200SIZECONCEN.zip
us-naics-331314,331314,Secondary smelting and alloying of aluminum,US,2022,sales-value-shipments-or-revenue,63,8965804,0.469,0.694,0.901,0.998,0.0766,https://www2.census.gov/programs-surveys/economic-census/data/2022/sector00/EC2200SIZECONCEN.zip
us-naics-424720,424720,Petroleum and petroleum products merchant wholesalers (except bulk stations and terminals),US,2022,sales-value-shipments-or-revenue,1826,832610026,0.332,0.538,0.751,0.874,0.04547,https://www2.census.gov/programs-surveys/economic-census/data/2022/sector00/EC2200SIZECONCEN.zip
us-naics-513130,513130,Book publishers,US,2022,sales-value-shipments-or-revenue,2191,29149395,0.352,0.526,0.712,0.819,0.04615,https://www2.census.gov/programs-surveys/economic-census/data/2022/sector00/EC2200SIZECONCEN.zip
us-naics-524126,524126,Direct property and casualty insurance carriers,US,2022,sales-value-shipments-or-revenue,2079,727460358,0.31,0.513,0.709,0.847,0.04058,https://www2.census.gov/programs-surveys/economic-census/data/2022/sector00/EC2200SIZECONCEN.zip
us-naics-541830,541830,Media buying agencies,US,2022,sales-value-shipments-or-revenue,632,8996771,0.345,0.527,0.7,0.837,0.04416,https://www2.census.gov/programs-surveys/economic-census/data/2022/sector00/EC2200SIZECONCEN.zip
us-naics-211130,211130,Natural gas extraction,US,2022,sales-value-shipments-or-revenue,779,178737420,0.287,0.482,0.765,0.936,0.03908,https://www2.census.gov/programs-surveys/economic-census/data/2022/sector00/EC2200SIZECONCEN.zip
us-naics-333131,333131,Mining machinery and equipment manufacturing,US,2022,sales-value-shipments-or-revenue,223,4385006,0.251,0.424,0.644,0.842,0.02962,https://www2.census.gov/programs-surveys/economic-census/data/2022/sector00/EC2200SIZECONCEN.zip
us-naics-332911,332911,Industrial valve manufacturing,US,2022,sales-value-shipments-or-revenue,395,14281165,0.226,0.361,0.6,0.81,0.02448,https://www2.census.gov/programs-surveys/economic-census/data/2022/sector00/EC2200SIZECONCEN.zip
us-naics-512110,512110,Motion picture and video production,US,2022,sales-value-shipments-or-revenue,17547,87527874,0.497,0.664,0.719,0.763,0.07737,https://www2.census.gov/programs-surveys/economic-census/data/2022/sector00/EC2200SIZECONCEN.zip
us-naics-541910,541910,Marketing research and public opinion polling,US,2022,sales-value-shipments-or-revenue,3649,25151509,0.215,0.327,0.49,0.641,0.01892,https://www2.census.gov/programs-surveys/economic-census/data/2022/sector00/EC2200SIZECONCEN.zip
us-naics-311811,311811,Retail bakeries,US,2022,sales-value-shipments-or-revenue,7156,6118018,0.026,0.044,0.084,0.148,0.00053,https://www2.census.gov/programs-surveys/economic-census/data/2022/sector00/EC2200SIZECONCEN.zip
us-naics-332710,332710,Machine shops,US,2022,sales-value-shipments-or-revenue,16876,44731288,0.02,0.036,0.07,0.12,0.00035,https://www2.census.gov/programs-surveys/economic-census/data/2022/sector00/EC2200SIZECONCEN.zip
us-naics-541511,541511,Custom computer programming services,US,2022,sales-value-shipments-or-revenue,63144,278509030,0.118,0.175,0.237,0.308,0.00547,https://www2.census.gov/programs-surveys/economic-census/data/2022/sector00/EC2200SIZECONCEN.zip
us-naics-423830,423830,Industrial machinery and equipment merchant wholesalers,US,2022,sales-value-shipments-or-revenue,18795,282320837,0.083,0.132,0.224,0.317,0.00347,https://www2.census.gov/programs-surveys/economic-census/data/2022/sector00/EC2200SIZECONCEN.zip
us-naics-611430,611430,Professional and management development training,US,2022,sales-value-shipments-or-revenue,8511,14574660,0.077,0.131,0.217,0.348,0.0035,https://www2.census.gov/programs-surveys/economic-census/data/2022/sector00/EC2200SIZECONCEN.zip
us-naics-812113,812113,Nail salons,US,2022,sales-value-shipments-or-revenue,33066,11366371,0.004,0.006,0.011,0.021,0.00001,https://www2.census.gov/programs-surveys/economic-census/data/2022/sector00/EC2200SIZECONCEN.zip
us-naics-722513,722513,Limited-service restaurants,US,2022,sales-value-shipments-or-revenue,166733,358864144,0.057,0.088,0.123,0.168,0.00135,https://www2.census.gov/programs-surveys/economic-census/data/2022/sector00/EC2200SIZECONCEN.zip
