# synthetic-geometric-shares
# Derived from aggregate moments for us-naics-331315; not observed firm shares.
rank,share
1,0.267007933252
2,0.193266216262
3,0.139890339187
4,0.101255705091
5,0.073291106971
6,0.05304971563
7,0.038398551266
8,0.027793716175
9,0.020117703229
10,0.014561636187
11,0.010540032628
12,0.007629107497
13,0.005522115847
14,0.003997028936
15,0.002893137479
16,0.002094116556
17,0.001515767634
18,0.00109714596
19,0.000794138383
20,0.000574814833
21,0.000416063622
22,0.000301156003
23,0.00021798334
24,0.000157781137
25,0.000114205458
26,0.000082664423
27,0.000059834328
28,0.000043309403
29,0.000031348299
30,0.000022690588
31,0.000016423947
32,0.000011888014
33,0.000008604806
34,0.000006228348
35,0.000004508215
36,0.000003263145
