year,rank,player,share
2013,1,AB InBev,0.202
2013,2,SABMiller,0.095
2013,3,Heineken,0.090
2013,4,Carlsberg,0.061
2013,5,China Res. Snow Breweries,0.059
2013,6,Tsingtao Brewery Group,0.040
2013,7,Molson Coors,0.030
2013,8,Yanjing,0.029
2013,9,Kirin,0.025
2013,10,BGI / Groupe Castel,0.014
2013,11,Efes Group,0.013
2013,12,Asahi Group,0.010
2013,13,Gold Star,0.010
2013,14,Diageo (Guinness),0.009
2013,15,Polar,0.009
2013,16,San Miguel Corporation,0.008
2013,17,Singha Corporation,0.008
2013,18,Grupo Petrópolis,0.008
2013,19,Oriental Brewery,0.007
2013,20,Saigon Beverage Corp. (SABECO),0.007
2013,21,Grupo Mahou - San Miguel,0.006
2013,22,Radeberger Gruppe,0.006
2013,23,Pearl River,0.006
2013,24,CCU,0.005
2013,25,United Breweries Group,0.005
2013,26,Oettinger Gruppe,0.005
2013,27,Damm,0.004
2013,28,HiteJinro,0.004
2013,29,Suntory,0.004
2013,30,Obolon,0.004
2013,31,Bitburger Braugruppe,0.004
2013,32,Sapporo,0.003
2013,33,Krombacher Gruppe,0.003
2013,34,Hanoi Beverage Corp. (HABECO),0.003
2013,35,Beer Thai (Chang),0.003
2013,36,Brau Holding International,0.003
2013,37,Cervecería Regional,0.003
2013,38,SiPing Ginsber Brewery,0.002
2013,39,Warsteiner,0.002
2013,40,Lan Bei Beer Co.,0.002
2014,1,AB InBev,0.210
2014,2,SABMiller,0.096
2014,3,Heineken,0.093
2014,4,Carlsberg,0.063
2014,5,China Res. Snow Breweries,0.060
2014,6,Tsingtao Brewery Group,0.039
2014,7,Molson Coors,0.030
2014,8,Yanjing,0.027
2014,9,Kirin,0.024
2014,10,BGI / Groupe Castel,0.016
2014,11,Efes Group,0.013
2014,12,Grupo Petrópolis,0.011
2014,13,Asahi Group,0.011
2014,14,Gold Star,0.010
2014,15,Polar,0.009
2014,16,Diageo (Guinness),0.009
2014,17,San Miguel Corporation,0.009
2014,18,Singha Corporation,0.008
2014,19,Saigon Beverage Corp. (SABECO),0.007
2014,20,Grupo Mahou - San Miguel,0.006
2014,21,Radeberger Gruppe,0.006
2014,22,Pearl River,0.006
2014,23,CCU,0.006
2014,24,United Breweries Group,0.005
2014,25,Oettinger Gruppe,0.005
2014,26,Constellation Brands,0.005
2014,27,Damm,0.004
2014,28,Suntory,0.004
2014,29,TCB Beteiligungsgesellschaft mbH,0.004
2014,30,HiteJinro,0.004
2014,31,Obolon,0.004
2014,32,Bitburger Braugruppe,0.004
2014,33,Sapporo,0.003
2014,34,Hanoi Beverage Corp. (HABECO),0.003
2014,35,Beer Thai (Chang),0.003
2014,36,Bavaria N.V.,0.003
2014,37,Krombacher Gruppe,0.003
2014,38,Brau Holding International,0.003
2014,39,Lan Bei Beer Co.,0.002
2014,40,Yunnan Lancang River,0.002
2015,1,AB InBev,0.212
2015,2,SABMiller,0.099
2015,3,Heineken,0.097
2015,4,Carlsberg,0.062
2015,5,China Res. Snow Breweries,0.061
2015,6,Tsingtao Brewery Group,0.036
2015,7,Molson Coors,0.030
2015,8,Yanjing,0.025
2015,9,Kirin,0.022
2015,10,BGI / Groupe Castel,0.015
2015,11,Grupo Petrópolis,0.012
2015,12,Efes Group,0.011
2015,13,Asahi Group,0.011
2015,14,Gold Star,0.009
2015,15,San Miguel Corporation,0.009
2015,16,Polar,0.009
2015,17,Constellation Brands,0.009
2015,18,Singha Corporation,0.008
2015,19,Diageo (Guinness),0.008
2015,20,Saigon Beverage Corp. (SABECO),0.007
2015,21,Grupo Mahou - San Miguel,0.006
2015,22,Pearl River,0.006
2015,23,Radeberger Gruppe,0.006
2015,24,CCU,0.006
2015,25,United Breweries Group,0.005
2015,26,Oettinger Gruppe,0.005
2015,27,Damm,0.005
2015,28,Sapporo,0.004
2015,29,Suntory,0.004
2015,30,TCB Beteiligungsgesellschaft mbH,0.004
2015,31,HiteJinro,0.004
2015,32,Bitburger Braugruppe,0.004
2015,33,Beer Thai (Chang),0.004
2015,34,Hanoi Beverage Corp. (HABECO),0.003
2015,35,Bavaria N.V.,0.003
2015,36,Krombacher Gruppe,0.003
2015,37,Brau Holding International,0.003
2015,38,Obolon,0.003
2015,39,Yunnan Lancang River,0.002
2015,40,Warsteiner,0.002
2016,1,AB InBev,0.222
2016,2,Heineken,0.102
2016,3,China Res. Snow Breweries,0.061
2016,4,Carlsberg,0.060
2016,5,Molson Coors,0.049
2016,6,Tsingtao Brewery Group,0.040
2016,7,Asahi Group,0.030
2016,8,Yanjing,0.023
2016,9,Kirin,0.022
2016,10,BGI / Groupe Castel,0.017
2016,11,Grupo Petrópolis,0.011
2016,12,Constellation Brands,0.011
2016,13,Efes Group,0.010
2016,14,Gold Star,0.009
2016,15,San Miguel Corporation,0.008
2016,16,Saigon Beverage Corp. (SABECO),0.008
2016,17,Diageo (Guinness),0.008
2016,18,Singha Corporation,0.007
2016,19,Grupo Mahou - San Miguel,0.006
2016,20,Radeberger Gruppe,0.006
2016,21,Pearl River,0.006
2016,22,United Breweries Group,0.006
2016,23,CCU,0.006
2016,24,Beer Thai (Chang),0.005
2016,25,Polar,0.005
2016,26,Damm,0.005
2016,27,Oettinger Gruppe,0.005
2016,28,Sapporo,0.004
2016,29,TCB Beteiligungsgesellschaft mbH,0.004
2016,30,Suntory,0.004
2016,31,Bitburger Braugruppe,0.004
2016,32,Bavaria N.V.,0.004
2016,33,HiteJinro,0.003
2016,34,Hanoi Beverage Corp. (HABECO),0.003
2016,35,Krombacher Gruppe,0.003
2016,36,Paulaner Gruppe,0.003
2016,37,Obolon,0.003
2016,38,Warsteiner,0.002
2016,39,Yunnan Lancang River,0.002
2016,40,Karlsberg Brewery,0.001
2017,1,AB InBev,0.314
2017,2,Heineken,0.112
2017,3,China Res. Snow Breweries,0.065
2017,4,Carlsberg,0.058
2017,5,Molson Coors,0.051
2017,6,Tsingtao Brewery Group,0.040
2017,7,Asahi Group,0.030
2017,8,Yanjing,0.022
2017,9,BGI / Groupe Castel,0.020
2017,10,Kirin,0.015
2017,11,Grupo Petrópolis,0.013
2017,12,Efes Group,0.011
2017,13,Constellation Brands,0.011
2017,14,San Miguel Corporation,0.009
2017,15,Saigon Beverage Corp. (SABECO),0.009
2017,16,Diageo (Guinness),0.008
2017,17,Singha Corporation,0.007
2017,18,Grupo Mahou - San Miguel,0.006
2017,19,Pearl River,0.006
2017,20,Radeberger Gruppe,0.006
2017,21,CCU,0.006
2017,22,United Breweries Group,0.006
2017,23,Damm,0.005
2017,24,Oettinger Gruppe,0.004
2017,25,Sapporo,0.004
2017,26,TCB Beteiligungsgesellschaft mbH,0.004
2017,27,Beer Thai (Chang),0.004
2017,28,Suntory,0.004
2017,29,Bavaria N.V.,0.004
2017,30,Bitburger Braugruppe,0.003
2017,31,Polar,0.003
2017,32,Krombacher Gruppe,0.003
2017,33,Paulaner Gruppe,0.003
2017,34,HiteJinro,0.003
2017,35,Hanoi Beverage Corp. (HABECO),0.002
2017,36,Obolon,0.002
2017,37,Gold Star,0.002
2017,38,Warsteiner,0.002
2017,39,Veltins,0.001
2017,40,Estrella de Galicia,0.001
2018,1,AB InBev,0.298
2018,2,Heineken,0.123
2018,3,China Res. Snow Breweries,0.064
2018,4,Carlsberg,0.059
2018,5,Molson Coors,0.051
2018,6,Tsingtao Brewery Group,0.042
2018,7,Asahi Group,0.030
2018,8,BGI / Groupe Castel,0.021
2018,9,Yanjing,0.020
2018,10,Efes Group,0.017
2018,11,Grupo Petrópolis,0.016
2018,12,Kirin,0.015
2018,13,San Miguel Corporation,0.013
2018,14,Constellation Brands,0.012
2018,15,Diageo (Guinness),0.011
2018,16,Saigon Beverage Corp. (SABECO),0.009
2018,17,Singha Corporation,0.007
2018,18,CCU,0.007
2018,19,Grupo Mahou - San Miguel,0.007
2018,20,United Breweries Group,0.007
2018,21,Radeberger Gruppe,0.006
2018,22,Damm,0.006
2018,23,Pearl River,0.006
2018,24,Beer Thai (Chang),0.005
2018,25,Suntory,0.005
2018,26,TCB Beteiligungsgesellschaft mbH,0.005
2018,27,Oettinger Gruppe,0.004
2018,28,Sapporo,0.004
2018,29,Swinkels Family Brewers,0.004
2018,30,Bitburger Braugruppe,0.003
2018,31,Krombacher Gruppe,0.003
2018,32,Paulaner Gruppe,0.003
2018,33,HiteJinro,0.003
2018,34,Royal Unibrew,0.003
2018,35,Hanoi Beverage Corp. (HABECO),0.002
2018,36,Obolon,0.002
2018,37,Warsteiner,0.002
2018,38,Olvi Group,0.002
2018,39,Polar,0.002
2018,40,Gold Star,0.002
2019,1,AB InBev,0.293
2019,2,Heineken,0.126
2019,3,China Res. Snow Breweries,0.060
2019,4,Carlsberg,0.059
2019,5,Molson Coors,0.048
2019,6,Tsingtao Brewery Group,0.042
2019,7,Asahi Group,0.030
2019,8,Yanjing,0.020
2019,9,BGI / Groupe Castel,0.019
2019,10,Efes Group,0.019
2019,11,Grupo Petrópolis,0.015
2019,12,Constellation Brands,0.015
2019,13,Kirin,0.015
2019,14,Diageo (Guinness),0.014
2019,15,San Miguel Corporation,0.013
2019,16,Saigon Beverage Corp. (SABECO),0.009
2019,17,CCU,0.008
2019,18,Singha Corporation,0.007
2019,19,Grupo Mahou - San Miguel,0.007
2019,20,United Breweries Group,0.007
2019,21,Pearl River,0.007
2019,22,Damm,0.006
2019,23,Radeberger Gruppe,0.006
2019,24,TCB Beteiligungsgesellschaft mbH,0.005
2019,25,Beer Thai (Chang),0.005
2019,26,Suntory,0.005
2019,27,Swinkels Family Brewers,0.004
2019,28,Oettinger Gruppe,0.004
2019,29,Sapporo,0.004
2019,30,Bitburger Braugruppe,0.003
2019,31,Krombacher Gruppe,0.003
