year,rank,player,share
2006,1,Maersk,0.166
2006,2,MSC,0.100
2006,3,CMA CGM,0.069
2006,4,Evergreen,0.052
2006,5,Hapag-Lloyd,0.045
2006,6,China Shipping Container Lines (CSCL),0.038
2006,7,COSCO Shipping,0.037
2006,8,APL,0.033
2006,9,Hanjin Shipping,0.033
2006,10,NYK Line,0.032
2014,1,Maersk,0.148937
2014,2,MSC,0.134430
2014,3,CMA CGM,0.084337
2014,4,Evergreen,0.049494
2014,5,COSCO Shipping,0.042699
2014,6,Hapag-Lloyd,0.042632
2014,7,China Shipping Container Lines (CSCL),0.035133
2014,8,APL,0.033170
2014,9,MOL,0.032521
2014,10,Hanjin Shipping,0.032112
2018,1,Maersk,0.19
2018,2,MSC,0.15
2018,3,CMA CGM,0.12
2018,4,COSCO Shipping,0.09
2018,5,Hapag-Lloyd,0.07
2018,6,ONE,0.07
2018,7,Evergreen,0.05
2018,8,OOCL,0.03
2018,9,Yang Ming,0.03
2018,10,PIL,0.02
2019,1,Maersk,0.18
2019,2,MSC,0.15
2019,3,COSCO Shipping,0.13
2019,4,CMA CGM,0.12
2019,5,Hapag-Lloyd,0.07
2019,6,ONE,0.07
2019,7,Evergreen,0.06
2019,8,Yang Ming,0.03
2019,9,HMM,0.02
2019,10,PIL,0.02
2022,1,MSC,0.172845
2022,2,Maersk,0.163713
2022,3,CMA CGM,0.128036
2022,4,COSCO Shipping,0.110347
2022,5,Hapag-Lloyd,0.067603
2022,6,Evergreen,0.061670
2022,7,ONE,0.057845
2022,8,HMM,0.031411
2022,9,Yang Ming,0.027200
2022,10,ZIM,0.019830
2025,1,MSC,0.206
2025,2,Maersk,0.144
2025,3,CMA CGM,0.124
2025,4,COSCO Shipping,0.106
2025,5,Hapag-Lloyd,0.075
2025,6,ONE,0.064
2025,7,Evergreen,0.057
2025,8,HMM,0.029
2025,9,ZIM,0.024
2025,10,Yang Ming,0.022
