year,rank,player,share
1994,1,"Bank of America, National Association",0.025587
1994,2,"JPMorgan Chase Bank, National Association",0.014772
1994,3,"Home Savings of America, FSB",0.012969
1994,4,"Wells Fargo Bank, National Association",0.012195
1994,5,"Citibank, National Association",0.010591
1994,6,"The Chase Manhattan Bank",0.009275
1994,7,"Great Western Bank",0.00903
1994,8,"First Fidelity Bank, National Association",0.008129
1994,9,"First Union National Bank of Florida",0.008036
1994,10,"NationsBank of Texas, National Association",0.007078
1995,1,"Bank of America, National Association",0.02384
1995,2,"JPMorgan Chase Bank, National Association",0.014317
1995,3,"Wells Fargo Bank, National Association",0.011492
1995,4,"Citibank, National Association",0.010658
1995,5,"Home Savings of America, FSB",0.010506
1995,6,"NationsBank, National Association",0.010442
1995,7,"The Chase Manhattan Bank",0.009786
1995,8,"First Union National Bank of Florida",0.008891
1995,9,"Great Western Bank",0.00881
1995,10,"NationsBank, National Association (South)",0.008003
1996,1,"JPMorgan Chase Bank, National Association",0.025174
1996,2,"Bank of America, National Association",0.024384
1996,3,"Wells Fargo Bank, National Association",0.021631
1996,4,"NationsBank, National Association",0.01171
1996,5,"Citibank, National Association",0.010818
1996,6,"NationsBank, National Association (South)",0.010613
1996,7,"Home Savings of America, FSB",0.010245
1996,8,"PNC Bank, National Association",0.010128
1996,9,"Barnett Bank, National Association",0.009719
1996,10,"Fleet National Bank (CERT 2499)",0.009488
1997,1,"Bank of America, National Association",0.033979
1997,2,"JPMorgan Chase Bank, National Association",0.026225
1997,3,"NationsBank, National Association",0.024792
1997,4,"Wachovia Bank, National Association",0.021963
1997,5,"Wells Fargo Bank, National Association",0.018546
1997,6,"U.S. Bank National Association (CERT 5134)",0.013301
1997,7,"Fleet National Bank (CERT 2499)",0.01177
1997,8,"NationsBank of Texas, National Association",0.011671
1997,9,"PNC Bank, National Association",0.011438
1997,10,"KeyBank, National Association",0.011166
1998,1,"NationsBank, National Association",0.042231
1998,2,"Wachovia Bank, National Association",0.035858
1998,3,"Bank of America, National Association",0.034499
1998,4,"JPMorgan Chase Bank, National Association",0.027711
1998,5,"Washington Mutual Bank",0.019164
1998,6,"Wells Fargo Bank, National Association",0.018034
1998,7,"U.S. Bank National Association (CERT 5134)",0.01267
1998,8,"Fleet National Bank (CERT 2499)",0.012213
1998,9,"PNC Bank, National Association",0.011499
1998,10,"KeyBank, National Association",0.010497
1999,1,"Bank of America, National Association",0.076329
1999,2,"Wachovia Bank, National Association",0.034327
1999,3,"JPMorgan Chase Bank, National Association",0.026315
1999,4,"Washington Mutual Bank",0.017395
1999,5,"Wells Fargo Bank, National Association",0.016989
1999,6,"U.S. Bank National Association (CERT 5134)",0.012948
1999,7,"Citibank, National Association",0.011954
1999,8,"Fleet National Bank (CERT 2558)",0.010781
1999,9,"Fleet National Bank (CERT 2499)",0.010601
1999,10,"PNC Bank, National Association",0.010508
2000,1,"Bank of America, National Association",0.073781
2000,2,"Wachovia Bank, National Association",0.031869
2000,3,"JPMorgan Chase Bank, National Association",0.031339
