year,rank,player,share
2013,1,Coca-Cola,
2013,2,PepsiCo,
2013,3,Dr Pepper Snapple Group,
2013,4,Cott Corporation,
2014,1,Coca-Cola,
2014,2,PepsiCo,
2014,3,Dr Pepper Snapple Group,
2014,4,Cott Corporation,
2015,1,Coca-Cola,
2015,2,PepsiCo,
2015,3,Dr Pepper Snapple Group,
2015,4,Cott Corporation,
2016,1,Coca-Cola,
2016,2,PepsiCo,
2016,3,Dr Pepper Snapple Group,
2016,4,Cott Corporation,
2017,1,Coca-Cola,
2017,2,PepsiCo,
2017,3,Dr Pepper Snapple Group,
2017,4,Cott Corporation,
2018,1,Coca-Cola,
2018,2,PepsiCo,
2018,3,Keurig Dr Pepper,
2018,4,Refresco,
2019,1,Coca-Cola,
2019,2,PepsiCo,
2019,3,Keurig Dr Pepper,
2019,4,Refresco,
2020,1,Coca-Cola,
2020,2,PepsiCo,
2020,3,Keurig Dr Pepper,
2020,4,Refresco,
2021,1,Coca-Cola,
2021,2,PepsiCo,
2021,3,Keurig Dr Pepper,
2021,4,Refresco,
2022,1,Coca-Cola,
2022,2,PepsiCo,
2022,3,Keurig Dr Pepper,
2022,4,Refresco,
2023,1,Coca-Cola,
2023,2,PepsiCo,
2023,3,Keurig Dr Pepper,
2023,4,Refresco,
2024,1,Coca-Cola,
2024,2,PepsiCo,
2024,3,Keurig Dr Pepper,
2024,4,Refresco,
