year,rank,player,share
1995,1,Delta Air Lines,0.173
1995,2,American Airlines,0.140
1995,3,United Airlines,0.139
1995,4,US Airways,0.122
1995,5,Southwest Airlines,0.114
1995,6,Northwest Airlines,0.084
1995,7,Continental Airlines,0.075
1995,8,Trans World Airlines,0.043
1995,9,America West Airlines,0.035
1995,10,Alaska Airlines,0.028
2009,1,Southwest Airlines,0.176
2009,2,Delta Air Lines,0.165
2009,3,American Airlines,0.136
2009,4,United Airlines,0.117
2009,5,US Airways,0.116
2009,6,Continental Airlines,0.077
2009,7,Northwest Airlines,0.052
2009,8,AirTran Airways,0.039
2009,9,JetBlue,0.033
2009,10,Alaska Airlines,0.031
