year,rank,player,share
2009,1,State Farm Group,0.1050
2009,2,Zurich Insurance Group,0.0596
2009,3,Allstate Insurance Group,0.0538
2009,4,American International Group,0.0538
2009,5,Liberty Mutual Group,0.0510
2009,6,Travelers Group,0.0440
2009,7,Berkshire Hathaway Group,0.0330
2009,8,Nationwide Corporation Group,0.0317
2009,9,Progressive Group,0.0292
2009,10,Hartford Fire & Casualty Group,0.0215
2024,1,State Farm Group,0.1034
2024,2,Progressive Group,0.0720
2024,3,Berkshire Hathaway Group,0.0591
2024,4,Allstate Insurance Group,0.0530
2024,5,Liberty Mutual Group,0.0406
2024,6,Travelers Group,0.0397
2024,7,United Services Automobile Association Group,0.0343
2024,8,Chubb Limited Group,0.0308
2024,9,Farmers Insurance Group,0.0268
2024,10,Zurich Insurance Group,0.0175
