year,rank,player,share
1996,1,Compaq,0.103
1996,2,IBM,0.089
1996,3,Packard Bell NEC,0.062
1996,4,Apple,0.052
1996,5,HP Inc.,0.044
2006,1,Dell Technologies,0.166
2006,2,HP Inc.,0.165
2006,3,Lenovo,0.071
2006,4,Acer Group,0.058
2006,5,Toshiba,0.039
2007,1,HP Inc.,0.188
2007,2,Dell Technologies,0.149
2007,3,Acer Group,0.079
2007,4,Lenovo,0.075
2007,5,Toshiba,0.041
2014,1,Lenovo,0.192
2014,2,HP Inc.,0.184
2014,3,Dell Technologies,0.135
2014,4,Acer Group,0.078
2014,5,Apple,0.064
2015,1,Lenovo,0.207
2015,2,HP Inc.,0.194
2015,3,Dell Technologies,0.141
2015,4,Apple,0.075
2015,5,Acer Group,0.071
2016,1,Lenovo,0.213
2016,2,HP Inc.,0.209
2016,3,Dell Technologies,0.157
2016,4,ASUS,0.074
2016,5,Apple,0.071
2019,1,Lenovo,0.243
2019,2,HP Inc.,0.236
2019,3,Dell Technologies,0.175
2019,4,Apple,0.066
2019,5,Acer Group,0.064
2020,1,Lenovo,0.240
2020,2,HP Inc.,0.224
2020,3,Dell Technologies,0.166
2020,4,Apple,0.076
2020,5,Acer Group,0.069
2021,1,Lenovo,0.235
2021,2,HP Inc.,0.212
2021,3,Dell Technologies,0.170
2021,4,Apple,0.080
2021,5,Acer Group,0.069
2022,1,Lenovo,0.233
2022,2,HP Inc.,0.189
2022,3,Dell Technologies,0.170
2022,4,Apple,0.098
2022,5,ASUS,0.070
2025,1,Lenovo,0.249
2025,2,HP Inc.,0.202
2025,3,Dell Technologies,0.144
2025,4,Apple,0.090
2025,5,ASUS,0.072
