year,rank,player,share
2009,1,Google,0.9028
2009,2,Yahoo!,0.0478
2009,3,Bing,0.0271
2009,4,AOL,0.0037
2009,5,Ask.com,0.0036
2010,1,Google,0.9091
2010,2,Yahoo!,0.0393
2010,3,Bing,0.0346
2010,4,Ask.com,0.004
2010,5,Baidu,0.0034
2011,1,Google,0.9107
2011,2,Yahoo!,0.0359
2011,3,Bing,0.0357
2011,4,Ask.com,0.0035
2011,5,Baidu,0.0032
2012,1,Google,0.9185
2012,2,Bing,0.0309
2012,3,Yahoo!,0.0301
2012,4,Yandex,0.0038
2012,5,Baidu,0.0035
2013,1,Google,0.9024
2013,2,Bing,0.0336
2013,3,Yahoo!,0.0312
2013,4,Baidu,0.0087
2013,5,Yandex,0.0059
2014,1,Google,0.8981
2014,2,Bing,0.0364
2014,3,Yahoo!,0.0357
2014,4,Yandex,0.0065
2014,5,Baidu,0.0061
2015,1,Google,0.9061
2015,2,Yahoo!,0.034
2015,3,Bing,0.0305
2015,4,Baidu,0.0096
2015,5,Yandex,0.0071
2016,1,Google,0.9201
2016,2,Bing,0.0283
2016,3,Yahoo!,0.0262
2016,4,Baidu,0.0102
2016,5,Yandex,0.0069
2017,1,Google,0.9209
2017,2,Bing,0.0284
2017,3,Yahoo!,0.0212
2017,4,Baidu,0.0134
2017,5,Yandex,0.008
2018,1,Google,0.914
2018,2,Bing,0.0288
2018,3,Yahoo!,0.0215
2018,4,Baidu,0.0145
2018,5,Yandex,0.009
2019,1,Google,0.9263
2019,2,Bing,0.0251
2019,3,Yahoo!,0.0183
2019,4,Baidu,0.01
2019,5,Yandex,0.0093
2020,1,Google,0.9208
2020,2,Bing,0.0273
2020,3,Yahoo!,0.0163
2020,4,Baidu,0.0116
2020,5,Yandex,0.0108
2021,1,Google,0.9201
2021,2,Bing,0.0259
2021,3,Yahoo!,0.0149
2021,4,Baidu,0.0146
2021,5,Yandex,0.011
2022,1,Google,0.9207
2022,2,Bing,0.0319
2022,3,Yahoo!,0.0136
2022,4,Yandex,0.0107
2022,5,Baidu,0.0094
2023,1,Google,0.9238
2023,2,Bing,0.0297
2023,3,Yandex,0.0135
2023,4,Yahoo!,0.0116
2023,5,Baidu,0.0076
2024,1,Google,0.9067
2024,2,Bing,0.0374
2024,3,Yandex,0.0194
2024,4,Yahoo!,0.0122
2024,5,Baidu,0.0087
2025,1,Google,0.8991
2025,2,Bing,0.0402
2025,3,Yandex,0.0224
2025,4,Yahoo!,0.0137
2025,5,DuckDuckGo,0.0082
