year,rank,player,share
2014,1,Intel,0.150
2014,2,Samsung Electronics,0.104
2014,3,Qualcomm,0.056
2015,1,Intel,0.154
2015,2,Samsung Electronics,0.113
2015,3,SK hynix,0.049
2016,1,Intel,0.157
2016,2,Samsung Electronics,0.117
2016,3,Qualcomm,0.045
2017,1,Samsung Electronics,0.142
2017,2,Intel,0.140
2017,3,SK hynix,0.063
2018,1,Samsung Electronics,0.159
2018,2,Intel,0.138
2018,3,SK hynix,0.076
2019,1,Intel,0.162
2019,2,Samsung Electronics,0.125
2019,3,SK hynix,0.053
2020,1,Intel,0.156
2020,2,Samsung Electronics,0.125
2020,3,SK hynix,0.056
2021,1,Samsung Electronics,0.130
2021,2,Intel,0.125
2021,3,SK hynix,0.062
2022,1,Samsung Electronics,0.109
2022,2,Intel,0.097
2022,3,SK hynix,0.060
2023,1,Intel,0.091
2023,2,Samsung Electronics,0.075
2023,3,Qualcomm,0.054
2024,1,NVIDIA,0.117
2024,2,Samsung Electronics,0.100
2024,3,Intel,0.076
2025,1,NVIDIA,0.158
2025,2,Samsung Electronics,0.091
2025,3,SK hynix,0.076
